iter	Passed	Remaining
0	18	18167
1	30	14987
2	37	12580
3	44	11032
4	53	10699
5	60	10011
6	67	9592
7	73	9148
8	80	8918
9	87	8663
10	94	8540
11	101	8371
12	108	8250
13	115	8106
14	122	8040
15	130	8031
16	138	7980
17	145	7951
18	153	7928
19	162	7939
20	173	8074
21	180	8029
22	186	7919
23	191	7804
24	197	7702
25	202	7595
26	208	7517
27	214	7439
28	219	7359
29	225	7284
30	230	7212
31	237	7183
32	243	7140
33	249	7083
34	254	7027
35	260	6964
36	266	6935
37	273	6915
38	280	6904
39	288	6917
40	299	7010
41	306	6998
42	315	7017
43	321	6990
44	327	6947
45	333	6906
46	338	6868
47	344	6834
48	351	6825
49	360	6850
50	367	6838
51	373	6807
52	380	6790
53	385	6754
54	391	6728
55	397	6704
56	403	6671
57	409	6649
58	415	6620
59	421	6596
60	426	6562
61	432	6547
62	438	6521
63	443	6488
64	449	6461
65	454	6432
66	460	6405
67	465	6381
68	470	6351
69	476	6330
70	481	6302
71	487	6276
72	492	6250
73	498	6231
74	503	6208
75	508	6184
76	514	6165
77	521	6163
78	528	6156
79	535	6156
80	545	6192
81	552	6188
82	560	6196
83	566	6182
84	572	6160
85	577	6141
86	583	6122
87	589	6109
88	595	6097
89	600	6074
90	610	6096
91	616	6083
92	621	6064
93	626	6041
94	632	6022
95	637	6004
96	642	5985
97	648	5970
98	654	5957
99	661	5954
100	669	5962
101	678	5972
102	686	5980
103	693	5975
104	699	5964
105	705	5947
106	710	5932
107	716	5913
108	721	5896
109	727	5887
110	733	5872
111	738	5854
112	744	5841
113	748	5820
114	754	5803
115	759	5785
116	764	5771
117	770	5759
118	777	5757
119	784	5753
120	790	5740
121	795	5723
122	801	5714
123	806	5700
124	812	5686
125	817	5671
126	824	5665
127	829	5651
128	835	5639
129	841	5629
130	846	5616
131	852	5605
132	857	5591
133	863	5577
134	868	5563
135	875	5560
136	882	5559
137	889	5555
138	898	5568
139	907	5574
140	914	5574
141	921	5569
142	927	5556
143	932	5542
144	937	5529
145	943	5516
146	948	5502
147	953	5491
148	959	5478
149	965	5468
150	971	5459
151	976	5445
152	982	5438
153	987	5427
154	993	5416
155	998	5403
156	1003	5389
157	1009	5380
158	1016	5374
159	1027	5393
160	1038	5414
161	1049	5428
162	1058	5434
163	1063	5423
164	1073	5430
165	1081	5435
166	1090	5440
167	1099	5443
168	1107	5446
169	1116	5448
170	1123	5446
171	1130	5442
172	1136	5434
173	1142	5422
174	1147	5411
175	1153	5399
176	1158	5388
177	1164	5379
178	1172	5377
179	1179	5374
180	1185	5365
181	1191	5354
182	1196	5342
183	1202	5333
184	1209	5329
185	1219	5335
186	1227	5336
187	1234	5333
188	1244	5341
189	1251	5336
190	1258	5331
191	1263	5318
192	1268	5305
193	1274	5295
194	1280	5287
195	1286	5276
196	1291	5265
197	1297	5254
198	1302	5243
199	1308	5233
200	1313	5221
201	1318	5210
202	1324	5200
203	1330	5190
204	1336	5181
205	1343	5177
206	1349	5169
207	1355	5162
208	1361	5153
209	1367	5145
210	1373	5135
211	1378	5123
212	1384	5113
213	1389	5105
214	1395	5094
215	1400	5083
216	1405	5071
217	1411	5061
218	1416	5051
219	1422	5042
220	1427	5032
221	1432	5021
222	1438	5010
223	1443	5002
224	1448	4990
225	1453	4979
226	1459	4969
227	1464	4959
228	1469	4948
229	1477	4946
230	1484	4940
231	1491	4935
232	1498	4933
233	1505	4928
234	1513	4926
235	1521	4925
236	1529	4922
237	1535	4917
238	1542	4911
239	1552	4916
240	1559	4911
241	1565	4904
242	1571	4895
243	1577	4888
244	1585	4885
245	1592	4879
246	1599	4874
247	1606	4869
248	1613	4866
249	1622	4867
250	1630	4866
251	1637	4861
252	1645	4858
253	1652	4854
254	1659	4848
255	1665	4841
256	1672	4834
257	1679	4829
258	1686	4825
259	1693	4819
260	1700	4814
261	1707	4808
262	1714	4803
263	1721	4799
264	1727	4792
265	1735	4787
266	1743	4785
267	1750	4782
268	1758	4779
269	1766	4776
270	1775	4774
271	1783	4773
272	1790	4768
273	1799	4767
274	1806	4763
275	1815	4761
276	1822	4757
277	1830	4754
278	1839	4752
279	1846	4747
280	1852	4740
281	1861	4740
282	1869	4735
283	1876	4731
284	1883	4725
285	1890	4719
286	1896	4712
287	1904	4707
288	1911	4702
289	1918	4696
290	1925	4691
291	1931	4684
292	1938	4678
293	1947	4677
294	1954	4671
295	1961	4666
296	1968	4658
297	1974	4652
298	1981	4645
299	1988	4639
300	1995	4634
301	2002	4628
302	2009	4622
303	2016	4616
304	2022	4609
305	2029	4603
306	2035	4595
307	2042	4588
308	2048	4580
309	2055	4575
310	2063	4572
311	2070	4566
312	2076	4557
313	2081	4547
314	2087	4538
315	2092	4529
316	2097	4519
317	2103	4511
318	2109	4503
319	2115	4494
320	2120	4485
321	2126	4476
322	2131	4467
323	2136	4458
324	2142	4450
325	2148	4441
326	2153	4431
327	2159	4423
328	2166	4417
329	2172	4411
330	2180	4406
331	2186	4399
332	2193	4392
333	2200	4387
334	2206	4380
335	2213	4374
336	2220	4369
337	2227	4363
338	2235	4357
339	2242	4352
340	2248	4345
341	2255	4338
342	2261	4332
343	2268	4326
344	2276	4321
345	2283	4315
346	2290	4309
347	2297	4303
348	2304	4297
349	2310	4290
350	2316	4283
351	2323	4278
352	2331	4272
353	2337	4265
354	2343	4258
355	2350	4252
356	2357	4246
357	2364	4239
358	2371	4233
359	2378	4227
360	2384	4221
361	2391	4214
362	2397	4207
363	2404	4201
364	2411	4195
